eval_avg/return_s/h6_unicycle_right,_step,eval_video/len_s/h9_explode_then_thrust_over,eval_avg/return_s/h3_point_the_thruster,eval_video/len_s/h2_one_wheel_car,eval_video/return_s/h0_weak_thrust,media/eval_video_s/h3_point_the_thruster,eval_avg/return_s/h7_unicycle_left,media/eval_video_s/h5_rotate_fall,eval_video/return_s/h2_one_wheel_car,eval_avg/return_s/h4_thrust_aim,eval_video/len_s/h3_point_the_thruster,eval_video/len_s/h7_unicycle_left,eval_video/return_s/h3_point_the_thruster,episode_solved,timing/num_updates,eval_avg/solve_rate_s/h7_unicycle_left,eval_avg/solve_rate_s/h9_explode_then_thrust_over,_runtime,eval_video/return_s/h1_thrust_over_ball,eval_video/len_s/h0_weak_thrust,num_completed_episodes,eval_avg/return_s/h8_unicycle_balance,eval_avg/solve_rate_s/h8_unicycle_balance,eval_avg/solve_rate_s/h4_thrust_aim,media/eval_video_s/h2_one_wheel_car,eval_video/len_s/h8_unicycle_balance,eval_avg/solve_rate_s/h6_unicycle_right,eval_avg/return_s/h2_one_wheel_car,eval_video/len_s/h5_rotate_fall,eval_avg/solve_rate_s/h1_thrust_over_ball,eval_video/return_s/h6_unicycle_right,eval_avg/solve_rate_s/h2_one_wheel_car,media/eval_video_s/h0_weak_thrust,eval_avg/return_s/h0_weak_thrust,eval/mean_eval_solve,eval_avg/return_s/h5_rotate_fall,eval_video/len_s/h1_thrust_over_ball,eval_video/return_s/h8_unicycle_balance,timing/sps,media/eval_video_s/h7_unicycle_left,eval_video/len_s/h4_thrust_aim,timing/num_env_steps,eval_video/return_s/h4_thrust_aim,eval_avg/solve_rate_s/h3_point_the_thruster,eval_video/len_s/h6_unicycle_right,eval_avg/solve_rate_s/h5_rotate_fall,eval_video/return_s/h7_unicycle_left,media/eval_video_s/h9_explode_then_thrust_over,eval/mean_eval_eplen,media/eval_video_s/h1_thrust_over_ball,eval_video/return_s/h5_rotate_fall,_timestamp,eval_avg/return_s/h9_explode_then_thrust_over,timing/sps_agg,media/eval_video_s/h8_unicycle_balance,eval_avg/solve_rate_s/h0_weak_thrust,media/eval_video_s/h6_unicycle_right,episode_length,eval_video/return_s/h9_explode_then_thrust_over,eval_avg/return_s/h1_thrust_over_ball,media/eval_video_s/h4_thrust_aim,eval/mean_eval_return,episode_return
,40,,,,,,,,,,,,,0.0023531257174909115,40,,,2205.647729114,,,89243,,,,,,,,,,,,,,,,,,41110.97022240836,,,81920000.0,,,,,,,,,,1763136764.57992,,37471.17445576711,,,,22.945934295654297,,,,,-1.0118440389633179
,41,,,,,,,,,,,,,0.0025202177930623293,41,,,2255.478866447,,,89278,,,,,,,,,,,,,,,,,,41100.47209395213,,,83968000.0,,,,,,,,,,1763136814.4100893,,37552.051558957835,,,,22.945642471313477,,,,,-1.0116839408874512
,42,,,,,,,,,,,,,0.0025586020201444626,42,,,2305.31180124,,,89502,,,,,,,,,,,,,,,,,,41097.28555576914,,,86016000.0,,,,,,,,,,1763136864.2429056,,37629.33902464742,,,,22.887332916259766,,,,,-1.0111221075057983
,43,,,,,,,,,,,,,0.002193424152210355,43,,,2355.140575727,,,89358,,,,,,,,,,,,,,,,,,41099.85539487102,,,88064000.0,,,,,,,,,,1763136914.072775,,37703.378889996755,,,,22.911468505859375,,,,,-1.0124882459640503
,44,,,,,,,,,,,,,0.002414163202047348,44,,,2404.971732937,,,89472,,,,,,,,,,,,,,,,,,41098.12967972931,,,90112000.0,,,,,,,,,,1763136963.9046082,,37774.29248489533,,,,22.89274787902832,,,,,-1.0117454528808594
,45,,,,,,,,,,,,,0.002485250821337104,45,,,2454.820660333,,,89327,,,,,,,,,,,,,,,,,,41084.67108679554,,,92160000.0,,,,,,,,,,1763137013.752964,,37842.05039425309,,,,22.922218322753906,,,,,-1.0115822553634644
,46,,,,,,,,,,,,,0.002101450925692916,46,,,2504.656255156,,,89462,,,,,,,,,,,,,,,,,,41095.01074257595,,,94208000.0,,,,,,,,,,1763137063.588574,,37907.28146080102,,,,22.889606475830078,,,,,-1.0129060745239258
,47,,,,,,,,,,,,,0.002499859780073166,47,,,2554.487296009,,,89205,,,,,,,,,,,,,,,,,,41097.61824618775,,,96256000.0,,,,,,,,,,1763137113.4211817,,37969.99518068094,,,,22.95557403564453,,,,,-1.011724829673767
,48,,,,,,,,,,,,,0.0023122290149331093,48,,,2604.320545563,,,89524,,,,,,,,,,,,,,,,,,41097.3846544795,,,98304000.0,,,,,,,,,,1763137163.2537925,,38030.28668872325,,,,22.888477325439453,,,,,-1.0123194456100464
,49,,,,,,,,,,,,,0.0022017816081643105,49,,,2654.151678805,,,89473,,,,,,,,,,,,,,,,,,41102.13448119821,,,100352000.0,,,,,,,,,,1763137213.0804482,,38088.38075113738,,,,22.89155387878418,,,,,-1.0124223232269287
