episode_length,episode_return,media/eval_video_s/h0_weak_thrust,eval_avg/return_s/h7_unicycle_left,eval_video/return_s/h4_thrust_aim,episode_solved,eval_avg/solve_rate_s/h0_weak_thrust,eval_video/return_s/h6_unicycle_right,eval_video/return_s/h1_thrust_over_ball,eval_avg/solve_rate_s/h1_thrust_over_ball,eval_avg/solve_rate_s/h3_point_the_thruster,eval_video/len_s/h1_thrust_over_ball,media/eval_video_s/h6_unicycle_right,media/eval_video_s/h9_explode_then_thrust_over,eval/mean_eval_eplen,eval_avg/return_s/h3_point_the_thruster,timing/sps_agg,_timestamp,eval_video/len_s/h4_thrust_aim,eval_video/len_s/h7_unicycle_left,timing/num_env_steps,timing/num_updates,media/eval_video_s/h7_unicycle_left,eval_avg/solve_rate_s/h2_one_wheel_car,eval_avg/solve_rate_s/h8_unicycle_balance,eval_avg/return_s/h9_explode_then_thrust_over,media/eval_video_s/h5_rotate_fall,eval/mean_eval_return,eval_avg/return_s/h2_one_wheel_car,eval_video/len_s/h6_unicycle_right,eval_video/len_s/h0_weak_thrust,eval_video/len_s/h9_explode_then_thrust_over,media/eval_video_s/h1_thrust_over_ball,eval_video/len_s/h5_rotate_fall,eval_avg/solve_rate_s/h5_rotate_fall,eval_avg/solve_rate_s/h6_unicycle_right,eval_video/return_s/h2_one_wheel_car,_step,eval_video/return_s/h9_explode_then_thrust_over,eval_avg/return_s/h8_unicycle_balance,eval_video/len_s/h8_unicycle_balance,num_completed_episodes,eval_avg/return_s/h5_rotate_fall,media/eval_video_s/h8_unicycle_balance,eval_video/return_s/h7_unicycle_left,eval_video/len_s/h2_one_wheel_car,eval_avg/return_s/h6_unicycle_right,eval_avg/return_s/h0_weak_thrust,eval_video/return_s/h0_weak_thrust,eval_avg/solve_rate_s/h4_thrust_aim,eval_avg/return_s/h4_thrust_aim,media/eval_video_s/h3_point_the_thruster,_runtime,media/eval_video_s/h4_thrust_aim,eval_video/return_s/h8_unicycle_balance,eval_avg/return_s/h1_thrust_over_ball,eval/mean_eval_solve,media/eval_video_s/h2_one_wheel_car,timing/sps,eval_video/len_s/h3_point_the_thruster,eval_video/return_s/h5_rotate_fall,eval_avg/solve_rate_s/h9_explode_then_thrust_over,eval_avg/solve_rate_s/h7_unicycle_left,eval_video/return_s/h3_point_the_thruster
256,0.20208817720413208,,,,0,,,,,,,,,,,37706.82940446533,1763181911.6092575,,,81920000.0,40,,,,,,,,,,,,,,,,40,,,,8192,,,,,,,,,,,2191.485350799,,,,,,41418.18983099032,,,,,
256,0.2025012969970703,,,,0,,,,,,,,,,,37789.56601355842,1763181961.0473702,,,83968000.0,41,,,,,,,,,,,,,,,,41,,,,8192,,,,,,,,,,,2240.924520813,,,,,,41425.40329046365,,,,,
256,0.20175772905349731,,,,0,,,,,,,,,,,37868.78760749207,1763182010.481268,,,86016000.0,42,,,,,,,,,,,,,,,,42,,,,6144,,,,,,,,,,,2290.354326498,,,,,,41429.754072747055,,,,,
256,0.20268763601779938,,,,0,,,,,,,,,,,37944.7491036245,1763182059.906498,,,88064000.0,43,,,,,,,,,,,,,,,,43,,,,8192,,,,,,,,,,,2339.782364205,,,,,,41435.632756403116,,,,,
256,0.20089127123355865,,,,0,,,,,,,,,,,38017.5856364705,1763182109.330255,,,90112000.0,44,,,,,,,,,,,,,,,,44,,,,8192,,,,,,,,,,,2389.201570643,,,,,,41437.88067061454,,,,,
256,0.20141741633415222,,,,0,,,,,,,,,,,38087.43487117653,1763182158.7540736,,,92160000.0,45,,,,,,,,,,,,,,,,45,,,,8192,,,,,,,,,,,2438.630853619,,,,,,41437.24900726883,,,,,
256,0.20170152187347412,,,,0,,,,,,,,,,,38154.71662453038,1763182208.1642632,,,94208000.0,46,,,,,,,,,,,,,,,,46,,,,8192,,,,,,,,,,,2488.038543391,,,,,,41449.66912199841,,,,,
256,0.2009499967098236,,,,0,,,,,,,,,,,38219.34409164131,1763182257.5736077,,,96256000.0,47,,,,,,,,,,,,,,,,47,,,,8192,,,,,,,,,,,2537.447496787,,,,,,41448.875296470884,,,,,
256,0.20369912683963776,,,,0,,,,,,,,,,,38281.487185779566,1763182306.983708,,,98304000.0,48,,,,,,,,,,,,,,,,48,,,,8192,,,,,,,,,,,2586.854721351,,,,,,41449.025098960665,,,,,
256,0.2017746865749359,,,,0,,,,,,,,,,,38341.28809710613,1763182356.393756,,,100352000.0,49,,,,,,,,,,,,,,,,49,,,,8192,,,,,,,,,,,2636.266034824,,,,,,41449.259505029346,,,,,
